Šilas,Kaunas,"M. Gimbutienės g. 3"
Lidl,Vilnius,"Liepkalnio g.102 A"
"Maxima XXX (antras aukštas)",Vilnius,"Mindaugo g. 11"
"Maxima X",Vilnius,"Antakalnio g. 75A"
"Maxima XX",Grigiškės,"Kovo 11-osios g. 38B"
"IKI Garliava ",Garliava,"Vytauto g. 67"
"IKI Riešė",Riešė,"Molėtų g. 13"
Norfa,Kupiškis,"Pergalės g. 8"
Norfa,Kuršėnai,"Vilniaus g. 2"
Norfa,Gargždai,"Klaipėdos g. 41"
"Maxima X",Kaišiadorys,"Gedimino g. 110"
"Maxima X",Šilalė,"Dariaus ir Girėno g. 12"
"Viešoji biblioteka",Lazdijai,"Seinų g. 1"
"Maxima XX",Ignalina,"Taikos g. 11"
"Maxima X",Zarasai,"D. Bukonto g. 7"
"Maxima X",Pasvalys,"Vilniaus g. 48"
"Maxima X",Varėna,"Savanorių g. 5"
"Maxima X",Šakiai,"V. Kudirkos g. 66"
"Maxima X",Prienai,"Kauno g. 34"
"Maxima X",Joniškis,"Upytės g. 19"
Norfa,Anykščiai,"Žiburio g. 12"
Norfa,Kelmė,"S. Šilingo g. 5"
"Maxima XX",Jurbarkas,"Algirdo g. 1A"
"Maxima X",Biržai,"Vabalninko g. 8a"
Eoltas,Raseiniai,"Žemaičių g. 2"
Aidas," PC",Druskininkai
"Maxima XX","Naujoji Akmenė","V. Kudirkos g. 18"
Lidl,Rokiškis,"Respublikos g. 113"
"Maxima X",Palanga,"Plytų g. 9a"
"Maxima XX",Elektrėnai,"Rungos g. 4"
Lietuvininkų,Šilutė,"Lietuvininkų g. 39"
Lidl,Radviliškis,"Gedimino g. 35"
"Maxima X",Kretinga,"Žemaitės al. 29"
"Maxima XX",Plungė,"J.Tumo-Vaižganto g. 81"
"Maxima XX",Ukmergė,"Žiedo g. 1"
"Maxima X",Visaginas,"Taikos g. 66"
"Maxima XX",Vilkaviškis,"J. Basanavičiaus a. 1"
"Rimi Telšiai",Telšiai,"Plungės g. 4"
"Maxima XX",Kėdainiai,"J. Basanavičiaus g. 53"
LIDL,Utena,"J. Basanavičiaus g. 121"
Norfa,Jonava,"Chemikų g. 2"
LIDL,Mažeikiai,"Daukšos g. 24A"
"Maxima XX",Mažeikiai,"Laisvės g. 56"
LIDL,Tauragė,"Dariaus ir Girėno g. 48"
"IKI Vidzgiris",Alytus,"Jaunimo g. 24-1"
LIDL,Alytus,"Jazminų g. 32A"
"Maxima XX",Marijampolė,"Bažnyčios g. 38"
"Maxima X",Marijampolė,"Sporto g. 16"
